订单编号,日期,地区,城市,品类,销售员,客户类型,单价,数量,销售额,折扣率
SO-2025-03059,2025-04-16,华东,上海,家居生活,吴倩,老客,244.01,8.0,1952.08,0.1342
SO-2025-03466,2025-03-17,华南,广州,数码配件,黄霞,新客,2639.12,2.0,5278.24,0.0209
SO-2025-03039,2025-06-10,华南,广州,家居生活,吴倩,老客,2597.73,7.0,18184.11,0.2366
SO-2025-02147,2025-05-29,东北,沈阳,数码配件,周涛,新客,2177.34,18.0,39192.12,0.144
SO-2025-04385,2025-01-02,东北,大连,办公用品,周涛,老客,2611.87,1.0,2611.87,0.2634
SO-2025-04662,2025-04-23,华北,北京,办公用品,吴倩,老客,217.17,5.0,1085.85,0.116
SO-2025-04916,2025-02-25,华南,深圳,家居生活,杨帆,新客,1421.98,13.0,18485.74,0.2878
SO-2025-04107,2025-02-14,华南,,办公用品,吴倩,老客,2061.8,13.0,26803.4,0.1205
SO-2025-02362,2025-02-11,华北,天津,办公用品,王强,新客,2490.44,3.0,7471.32,0.2232
SO-2025-03313,2025-01-23,华南,深圳,数码配件,周涛,新客,2387.42,1.0,2387.42,0.0488
SO-2025-02955,2025-01-24,华北,北京,家居生活,孙丽,新客,2044.52,1.0,2044.52,0.1403
SO-2025-04091,2025-01-15,西南,重庆,办公用品,赵磊,老客,532.26,14.0,7451.64,0.1987
SO-2025-00310,2025-01-31,华北,北京,办公用品,张伟,老客,2653.44,7.0,18574.08,0.1202
SO-2025-01811,2025-01-10,华北,天津,数码配件,杨帆,老客,2998.81,6.0,17992.86,0.124
SO-2025-03195,2025-03-16,华北,北京,办公用品,刘敏,新客,681.87,8.0,5454.96,0.1831
SO-2025-01587,2025-05-18,华北,北京,家居生活,王强,老客,2308.46,11.0,25393.06,0.0731
SO-2025-01015,2025-03-30,华东,杭州,数码配件,杨帆,新客,20.87,,,0.1557
SO-2025-02760,2025-06-29,华南,深圳,家居生活,王强,老客,181.1,13.0,2354.3,0.2566
SO-2025-01305,2025-06-20,东北,大连,数码配件,陈静,老客,1017.63,20.0,20352.6,0.0239
SO-2025-00542,2025-04-09,西南,重庆,家居生活,李娜,新客,756.14,1.0,756.14,0.186
SO-2025-02336,2025-05-30,西南,重庆,办公用品,陈静,老客,42.07,16.0,673.12,0.1184
SO-2025-02507,2025-03-15,东北,沈阳,家居生活,李娜,新客,2566.15,11.0,28227.65,0.1049
SO-2025-02508,2025-02-22,华北,北京,办公用品,赵磊,老客,2033.86,12.0,24406.32,0.0
SO-2025-01290,2025-02-20,华北,天津,家居生活,黄霞,新客,2452.18,7.0,17165.26,0.015
SO-2025-03298,2025-03-30,华北,北京,家居生活,张伟,老客,947.1,17.0,16100.7,0.2343
SO-2025-04946,2025-02-19,华南,深圳,数码配件,吴倩,老客,1484.72,9.0,13362.48,0.2159
SO-2025-04813,2025-05-20,东北,大连,数码配件,黄霞,新客,2843.41,19.0,54024.79,0.0722
SO-2025-01300,2025-05-08,华东,南京,办公用品,王强,新客,2135.89,16.0,34174.24,0.0
SO-2025-02291,2025-01-17,华南,深圳,办公用品,吴倩,新客,2360.94,6.0,14165.64,0.2367
SO-2025-00924,2025-04-08,华东,上海,办公用品,王强,老客,2857.01,20.0,57140.2,0.0215
SO-2025-04668,2025-01-11,西南,重庆,办公用品,杨帆,老客,1893.61,6.0,11361.66,0.1292
SO-2025-00127,2025-01-04,华东,上海,家居生活,孙丽,新客,1439.65,12.0,17275.8,0.035
SO-2025-00081,2025-06-09,华北,北京,家居生活,刘敏,老客,2613.41,17.0,44427.97,0.0942
SO-2025-02419,2025-01-12,东北,大连,家居生活,李娜,老客,288.04,13.0,3744.52,0.2237
SO-2025-04205,2025-06-18,华南,深圳,数码配件,赵磊,老客,2995.55,4.0,11982.2,0.0715
SO-2025-01566,2025-05-01,华东,上海,办公用品,刘敏,新客,1685.87,15.0,25288.05,0.1584
SO-2025-01102,2025-01-15,西南,重庆,办公用品,刘敏,新客,1692.92,14.0,23700.88,0.1157
SO-2025-01702,2025-06-29,华北,天津,数码配件,徐鹏,新客,1451.0,1.0,1451.0,0.2982
SO-2025-02280,2025-01-04,华北,天津,办公用品,张伟,新客,1767.64,3.0,5302.92,0.1581
SO-2025-01957,2025-03-29,华东,上海,办公用品,吴倩,老客,1937.99,16.0,31007.84,0.2224
SO-2025-02538,2025-06-18,华东,上海,数码配件,周涛,老客,641.72,18.0,11550.96,0.0087
SO-2025-03431,2025-03-28,华北,天津,家居生活,刘敏,老客,403.76,17.0,6863.92,0.2925
SO-2025-03399,2025-03-18,华南,深圳,办公用品,黄霞,新客,1444.48,,,0.0758
SO-2025-01835,2025-01-07,华东,南京,家居生活,陈静,老客,2383.49,3.0,7150.47,0.2181
SO-2025-01804,2025-06-03,华南,深圳,办公用品,李娜,新客,288.75,15.0,4331.25,0.2447
SO-2025-01026,2025-06-10,东北,大连,家居生活,刘敏,老客,2625.99,20.0,52519.8,0.1138
SO-2025-03599,2025-02-28,华北,北京,数码配件,赵磊,新客,236.63,17.0,4022.71,0.2182
SO-2025-00565,2025-05-06,华南,深圳,办公用品,黄霞,老客,1863.16,2.0,3726.32,0.064
SO-2025-00594,2025-06-09,华东,杭州,办公用品,张伟,老客,411.14,14.0,5755.96,0.1129
SO-2025-03824,2025-03-30,华南,深圳,办公用品,张伟,新客,2372.2,12.0,28466.4,0.1172
SO-2025-02036,2025-06-05,东北,大连,家居生活,张伟,老客,1510.23,13.0,19632.99,0.0545
SO-2025-01163,2025-03-28,华东,杭州,家居生活,杨帆,新客,1307.04,13.0,16991.52,0.2243
SO-2025-02808,2025-06-16,华东,上海,数码配件,孙丽,新客,2241.38,2.0,4482.76,0.2333
SO-2025-00387,2025-04-16,东北,大连,办公用品,刘敏,新客,213.12,20.0,4262.4,0.0945
SO-2025-03686,2025-03-22,华北,北京,家居生活,李娜,新客,1867.43,11.0,20541.73,0.0746
SO-2025-00801,2025-02-14,华东,,办公用品,王强,老客,2879.17,15.0,43187.55,0.1501
SO-2025-01242,2025-02-11,华北,北京,办公用品,杨帆,老客,1436.59,7.0,10056.13,0.0274
SO-2025-04429,2025-01-25,华东,南京,家居生活,黄霞,老客,2923.54,13.0,38006.02,0.0252
SO-2025-02889,2025-05-13,华东,上海,办公用品,张伟,新客,2588.13,12.0,31057.56,0.2079
SO-2025-00509,2025-01-02,华东,南京,数码配件,孙丽,新客,2759.95,15.0,41399.25,0.1435
SO-2025-01118,2025-04-29,华东,上海,办公用品,张伟,老客,1806.65,8.0,14453.2,0.1171
SO-2025-02037,2025-02-28,华东,南京,办公用品,陈静,新客,1407.66,20.0,28153.2,0.1338
SO-2025-01251,2025-01-05,华东,杭州,数码配件,王强,老客,586.47,17.0,9969.99,0.1179
SO-2025-02320,2025-01-19,华东,上海,家居生活,孙丽,新客,2168.18,11.0,23849.98,0.2622
SO-2025-01367,2025-05-22,华东,杭州,数码配件,王强,老客,246.73,20.0,4934.6,0.2001
SO-2025-03847,2025-06-17,华南,深圳,办公用品,孙丽,老客,586.68,17.0,9973.56,0.1201
SO-2025-01907,2025-01-12,华东,上海,办公用品,赵磊,老客,281.4,5.0,1407.0,0.0448
SO-2025-02957,2025-06-30,华东,上海,办公用品,孙丽,老客,460.68,7.0,3224.76,0.2702
SO-2025-03823,2025-04-26,华东,杭州,家居生活,张伟,老客,245.37,16.0,3925.92,0.1135
SO-2025-04527,2025-05-21,华南,广州,数码配件,王强,老客,617.0,2.0,1234.0,0.2422
SO-2025-00052,2025-02-26,西南,重庆,办公用品,张伟,老客,1559.04,6.0,9354.24,0.0219
SO-2025-04576,2025-01-31,西南,成都,数码配件,张伟,老客,2905.84,9.0,26152.56,0.046
SO-2025-00420,2025-06-27,华南,深圳,数码配件,王强,老客,2800.44,14.0,39206.16,0.2055
SO-2025-01342,2025-02-13,华北,天津,办公用品,张伟,新客,1560.11,6.0,9360.66,0.1946
SO-2025-04536,2025-05-14,华南,广州,数码配件,周涛,老客,2134.86,13.0,27753.18,0.2262
SO-2025-01184,2025-01-13,华东,上海,办公用品,徐鹏,新客,1984.86,7.0,13894.02,0.1731
SO-2025-01923,2025-02-22,华北,北京,办公用品,杨帆,老客,2104.04,4.0,8416.16,0.2718
SO-2025-02593,2025-03-14,华东,,数码配件,张伟,老客,603.26,11.0,6635.86,0.2693
SO-2025-01031,2025-02-21,华南,深圳,办公用品,王强,老客,2694.19,18.0,48495.42,0.1145
SO-2025-03320,2025-03-17,华东,杭州,家居生活,李娜,老客,2112.59,2.0,4225.18,0.0
SO-2025-01891,2025-04-09,华南,广州,家居生活,刘敏,新客,336.94,15.0,5054.1,0.0339
SO-2025-04217,2025-05-25,华东,杭州,数码配件,周涛,老客,26.04,16.0,416.64,0.212
SO-2025-01884,2025-03-11,华北,天津,数码配件,刘敏,老客,2011.88,14.0,28166.32,0.267
SO-2025-00271,2025-02-10,华东,杭州,办公用品,黄霞,老客,280.64,19.0,5332.16,0.2533
SO-2025-04055,2025-02-25,西南,成都,数码配件,徐鹏,老客,1658.77,9.0,14928.93,0.2077
SO-2025-01247,2025-05-04,华东,杭州,家居生活,孙丽,新客,265.9,13.0,3456.7,0.0504
SO-2025-04623,2025-06-18,西南,成都,家居生活,刘敏,新客,1013.16,6.0,6078.96,0.2985
SO-2025-03468,2025-04-16,华东,杭州,数码配件,刘敏,老客,791.16,10.0,7911.6,0.2245
SO-2025-00125,2025-01-01,华北,北京,办公用品,周涛,老客,31.48,13.0,409.24,0.1777
SO-2025-04971,2025-02-10,华东,南京,办公用品,吴倩,老客,118.44,3.0,355.32,0.2855
SO-2025-04641,2025-05-28,华东,上海,数码配件,张伟,新客,183.38,3.0,550.14,0.0252
SO-2025-04400,2025-04-23,西南,成都,办公用品,周涛,老客,1249.7,1.0,1249.7,0.264
SO-2025-04670,2025-03-05,华东,南京,数码配件,黄霞,新客,2204.92,20.0,44098.4,0.1359
SO-2025-04098,2025-02-01,华南,广州,数码配件,杨帆,新客,2999.73,10.0,29997.3,0.2983
SO-2025-04505,2025-04-30,华北,天津,办公用品,陈静,老客,123.28,12.0,1479.36,0.1088
SO-2025-00931,2025-05-08,华北,天津,办公用品,周涛,老客,234.52,2.0,469.04,0.1806
SO-2025-02555,2025-02-23,华南,深圳,办公用品,徐鹏,新客,2824.21,9.0,25417.89,0.1237
SO-2025-04096,2025-02-24,华南,广州,办公用品,刘敏,老客,2024.5,12.0,24294.0,0.1172
SO-2025-04468,2025-02-21,东北,大连,数码配件,李娜,老客,20.86,8.0,166.88,0.0436
SO-2025-04226,2025-06-23,华南,广州,数码配件,孙丽,新客,1800.73,15.0,27010.95,0.1339
SO-2025-02027,2025-02-17,华北,天津,办公用品,赵磊,新客,1584.58,11.0,17430.38,0.0
SO-2025-00304,2025-02-19,西南,重庆,办公用品,陈静,新客,638.51,12.0,7662.12,0.0104
SO-2025-04072,2025-05-15,华北,北京,办公用品,刘敏,老客,126.59,1.0,126.59,0.181
SO-2025-03785,2025-03-30,东北,沈阳,办公用品,杨帆,新客,458.05,20.0,9161.0,0.0
SO-2025-03018,2025-04-13,华北,天津,数码配件,陈静,老客,806.47,7.0,5645.29,0.1643
SO-2025-01841,2025-04-18,华南,广州,办公用品,陈静,新客,162.45,18.0,2924.1,0.2019
SO-2025-01436,2025-06-11,华东,上海,办公用品,陈静,老客,2083.92,3.0,6251.76,0.0959
SO-2025-01425,2025-03-27,华北,天津,数码配件,杨帆,新客,1747.76,9.0,15729.84,0.0797
SO-2025-01028,2025-06-12,华南,广州,数码配件,徐鹏,老客,1876.67,8.0,15013.36,0.1173
SO-2025-02560,2025-05-06,华南,广州,家居生活,王强,新客,2573.2,20.0,51464.0,0.0281
SO-2025-02569,2025-05-22,东北,大连,办公用品,徐鹏,老客,533.36,7.0,3733.52,0.065
SO-2025-02066,2025-01-01,华北,北京,办公用品,孙丽,新客,1793.66,12.0,21523.92,0.19
SO-2025-01241,2025-03-05,华北,北京,数码配件,王强,老客,2540.65,17.0,43191.05,0.2194
SO-2025-00480,2025-05-28,华北,北京,办公用品,吴倩,新客,2749.27,7.0,19244.89,0.2878
SO-2025-01370,2025-06-05,华东,南京,数码配件,张伟,新客,1576.73,12.0,18920.76,0.1289
SO-2025-04424,2025-01-21,华南,深圳,办公用品,刘敏,老客,363.16,5.0,1815.8,0.0824
SO-2025-00020,2025-03-20,华南,广州,办公用品,孙丽,老客,496.61,20.0,9932.2,0.208
SO-2025-00085,2025-06-23,华东,上海,办公用品,张伟,老客,1588.1,13.0,20645.3,0.2224
SO-2025-01132,2025-06-21,华东,杭州,办公用品,张伟,新客,2980.39,10.0,29803.9,0.2215
SO-2025-04845,2025-02-05,华东,上海,数码配件,陈静,新客,2442.48,12.0,29309.76,0.0287
SO-2025-03469,2025-06-07,东北,沈阳,数码配件,王强,新客,2869.73,3.0,8609.19,0.1883
SO-2025-03213,2025-04-18,华南,深圳,办公用品,吴倩,新客,2208.22,3.0,6624.66,0.178
SO-2025-03221,2025-01-08,西南,重庆,办公用品,孙丽,老客,2488.47,20.0,49769.4,0.1853
SO-2025-01295,2025-05-18,华北,北京,数码配件,李娜,新客,1959.64,12.0,23515.68,0.0
SO-2025-03297,2025-03-28,华北,天津,办公用品,黄霞,新客,2952.11,8.0,23616.88,0.0
SO-2025-02749,2025-03-15,华东,上海,家居生活,赵磊,新客,2894.85,1.0,2894.85,0.2491
SO-2025-02996,2025-05-17,华南,广州,办公用品,张伟,老客,310.61,12.0,3727.32,0.0059
SO-2025-03552,2025-05-27,华北,天津,家居生活,徐鹏,新客,2211.23,13.0,28745.99,0.1406
SO-2025-02052,2025-04-22,华北,天津,数码配件,黄霞,老客,2802.81,5.0,14014.05,0.1685
SO-2025-03993,2025-03-02,华北,天津,办公用品,孙丽,老客,2384.32,3.0,7152.96,0.1788
SO-2025-02377,2025-03-26,华南,深圳,家居生活,陈静,老客,1392.14,1.0,1392.14,0.0649
SO-2025-04278,2025-01-19,华东,南京,办公用品,杨帆,老客,827.44,3.0,2482.32,0.0121
SO-2025-00906,2025-05-03,华北,天津,办公用品,吴倩,老客,2183.16,10.0,21831.6,0.1281
SO-2025-04708,2025-04-20,华东,上海,办公用品,杨帆,新客,2399.21,16.0,38387.36,0.1138
SO-2025-01745,2025-03-31,华南,广州,数码配件,张伟,老客,1918.04,9.0,17262.36,0.0684
SO-2025-04197,2025-06-18,西南,成都,数码配件,赵磊,老客,1631.18,4.0,6524.72,0.1794
SO-2025-04695,2025-06-16,华南,广州,办公用品,杨帆,新客,2705.31,7.0,18937.17,0.0052
SO-2025-04150,2025-06-21,华东,杭州,数码配件,李娜,新客,1045.13,17.0,17767.21,0.1896
SO-2025-02145,2025-06-04,东北,沈阳,数码配件,孙丽,老客,2855.34,8.0,22842.72,0.1249
SO-2025-01564,2025-01-20,西南,成都,办公用品,杨帆,老客,2117.29,7.0,14821.03,0.0021
SO-2025-01888,2025-04-23,西南,重庆,办公用品,李娜,新客,126.08,1.0,126.08,0.0
SO-2025-04679,2025-03-21,西南,重庆,办公用品,张伟,新客,1226.1,4.0,4904.4,0.2593
SO-2025-00436,2025-02-16,华东,杭州,办公用品,刘敏,新客,1040.36,16.0,16645.76,0.1796
SO-2025-02030,2025-03-27,华东,南京,数码配件,李娜,老客,1710.45,14.0,23946.3,0.0
SO-2025-04619,2025-04-28,华北,北京,办公用品,张伟,老客,2223.93,,,0.1104
SO-2025-00563,2025-04-08,华南,广州,家居生活,周涛,老客,2324.96,15.0,34874.4,0.0326
SO-2025-04496,2025-05-26,华北,天津,办公用品,杨帆,新客,1979.02,19.0,37601.38,0.0761
SO-2025-03149,2025-05-18,华东,杭州,办公用品,杨帆,老客,1197.39,17.0,20355.63,0.1897
SO-2025-04930,2025-01-18,华南,广州,办公用品,张伟,老客,1218.62,15.0,18279.3,0.1171
SO-2025-02888,2025-05-12,华东,南京,办公用品,张伟,老客,2050.52,5.0,10252.6,0.2922
SO-2025-04694,2025-02-15,华北,天津,办公用品,孙丽,老客,772.8,8.0,6182.4,0.1808
SO-2025-04175,2025-01-20,华北,北京,办公用品,刘敏,新客,924.27,6.0,5545.62,0.2426
SO-2025-04993,2025-03-19,华北,北京,家居生活,赵磊,新客,1296.58,11.0,14262.38,0.2905
SO-2025-01038,2025-05-17,华北,天津,办公用品,陈静,老客,2651.22,16.0,42419.52,0.0
SO-2025-02387,2025-03-25,华东,杭州,家居生活,王强,老客,2412.35,3.0,7237.05,0.1361
SO-2025-01451,2025-04-28,华南,深圳,数码配件,陈静,老客,365.45,10.0,3654.5,0.209
SO-2025-02983,2025-04-13,华南,深圳,数码配件,张伟,老客,132.22,6.0,793.32,0.0576
SO-2025-03740,2025-01-06,华东,杭州,家居生活,徐鹏,老客,1444.5,,,0.0031
SO-2025-04844,2025-01-20,华北,北京,家居生活,王强,老客,2952.09,6.0,17712.54,0.0776
SO-2025-00724,2025-04-11,华东,南京,办公用品,吴倩,老客,136.56,13.0,1775.28,0.0662
SO-2025-04021,2025-03-22,华东,上海,办公用品,孙丽,老客,2193.54,4.0,8774.16,0.0664
SO-2025-02509,2025-04-11,华南,深圳,办公用品,刘敏,新客,1921.05,17.0,32657.85,0.1392
SO-2025-01743,2025-02-08,东北,沈阳,办公用品,赵磊,老客,342.29,15.0,5134.35,0.1928
SO-2025-04706,2025-05-02,华东,南京,数码配件,吴倩,老客,488.92,,,0.074
SO-2025-00302,2025-02-13,华北,北京,办公用品,黄霞,老客,1064.33,14.0,14900.62,0.0643
SO-2025-00007,2025-02-14,西南,成都,家居生活,徐鹏,老客,2433.17,17.0,41363.89,0.0226
SO-2025-04948,2025-06-25,华南,广州,家居生活,吴倩,新客,356.14,7.0,2492.98,0.0933
SO-2025-02656,2025-05-27,华北,北京,数码配件,陈静,老客,756.99,10.0,7569.9,0.1298
SO-2025-03476,2025-05-16,西南,成都,数码配件,陈静,老客,2832.19,1.0,2832.19,0.0353
SO-2025-01839,2025-03-16,华南,广州,办公用品,赵磊,老客,1530.01,10.0,15300.1,0.0
SO-2025-02535,2025-02-26,华南,深圳,家居生活,陈静,老客,2071.91,4.0,8287.64,0.2779
SO-2025-03218,2025-06-15,华东,上海,办公用品,李娜,新客,125.51,4.0,502.04,0.1135
SO-2025-02735,2025-02-28,华北,北京,办公用品,吴倩,老客,2351.08,8.0,18808.64,0.251
SO-2025-02988,2025-01-18,华东,上海,家居生活,孙丽,老客,927.34,19.0,17619.46,0.237
SO-2025-04747,2025-02-20,华南,深圳,数码配件,赵磊,新客,1263.07,5.0,6315.35,0.2556
SO-2025-02297,2025-04-21,华东,南京,办公用品,李娜,新客,1832.42,9.0,16491.78,0.1794
SO-2025-00797,2025-01-23,华东,南京,办公用品,吴倩,老客,769.25,13.0,10000.25,0.272
SO-2025-03127,2025-03-02,华东,南京,办公用品,陈静,新客,2402.13,4.0,9608.52,0.146
SO-2025-03135,2025-05-05,西南,重庆,办公用品,吴倩,新客,2635.95,17.0,44811.15,0.0825
SO-2025-02738,2025-04-14,华南,广州,办公用品,吴倩,老客,1697.12,14.0,23759.68,0.237
SO-2025-01480,2025-03-11,华北,北京,数码配件,黄霞,老客,786.16,11.0,8647.76,0.2489
SO-2025-02421,2025-05-06,华东,上海,数码配件,王强,老客,172.67,6.0,1036.02,0.2483
SO-2025-00452,2025-03-14,华南,深圳,家居生活,陈静,老客,2535.63,7.0,17749.41,0.1147
SO-2025-01119,2025-03-01,西南,成都,数码配件,赵磊,老客,2227.02,4.0,8908.08,0.2815
SO-2025-03264,2025-03-28,华北,天津,数码配件,王强,新客,2399.75,3.0,7199.25,0.2263
SO-2025-04765,2025-03-27,华东,南京,办公用品,李娜,老客,1219.71,5.0,6098.55,0.1156
SO-2025-04145,2025-05-05,华东,上海,办公用品,王强,老客,2122.17,4.0,8488.68,0.0962
SO-2025-00644,2025-04-19,华南,深圳,数码配件,黄霞,老客,2486.13,,,0.1863
SO-2025-02361,2025-04-16,华东,上海,数码配件,王强,新客,797.6,18.0,14356.8,0.2705
SO-2025-03174,2025-04-25,华南,广州,家居生活,张伟,新客,780.97,7.0,5466.79,0.2013
SO-2025-00288,2025-06-29,华北,北京,数码配件,杨帆,老客,2173.73,3.0,6521.19,0.0
SO-2025-01533,2025-05-31,华南,广州,家居生活,黄霞,老客,1520.38,2.0,3040.76,0.0517
SO-2025-01245,2025-04-21,华东,杭州,数码配件,陈静,新客,2011.9,3.0,6035.7,0.1746
SO-2025-02439,2025-03-16,华南,广州,数码配件,李娜,老客,1493.68,9.0,13443.12,0.0698
SO-2025-01122,2025-02-07,西南,成都,办公用品,孙丽,新客,845.02,,,0.2607
SO-2025-03699,2025-02-19,华北,天津,办公用品,徐鹏,新客,1491.7,4.0,5966.8,0.0
SO-2025-00890,2025-03-30,华北,北京,数码配件,赵磊,新客,1270.35,5.0,6351.75,0.2688
SO-2025-04062,2025-05-13,华东,杭州,数码配件,刘敏,老客,732.8,10.0,7328.0,0.1515
SO-2025-01915,2025-03-23,华东,上海,数码配件,吴倩,新客,1542.5,6.0,9255.0,0.1258
SO-2025-04579,2025-06-08,华东,上海,办公用品,赵磊,新客,968.27,9.0,8714.43,0.1582
SO-2025-02246,2025-03-19,华东,上海,数码配件,刘敏,新客,132.59,12.0,1591.08,0.0158
SO-2025-01450,2025-06-11,西南,重庆,办公用品,张伟,老客,121.79,4.0,487.16,0.1579
SO-2025-02736,2025-02-21,华东,杭州,家居生活,周涛,新客,2202.37,9.0,19821.33,0.0
SO-2025-02657,2025-04-03,华南,广州,家居生活,陈静,新客,204.32,10.0,2043.2,0.0
SO-2025-03698,2025-03-06,华东,杭州,办公用品,张伟,新客,2470.0,16.0,39520.0,0.0225
SO-2025-02323,2025-03-11,华东,杭州,数码配件,赵磊,新客,406.11,15.0,6091.65,0.1867
SO-2025-01786,2025-06-27,华北,天津,家居生活,吴倩,新客,966.28,17.0,16426.76,0.2534
SO-2025-04606,2025-03-01,西南,重庆,数码配件,王强,老客,1762.86,7.0,12340.02,0.1153
SO-2025-02655,2025-05-22,东北,大连,办公用品,黄霞,老客,422.67,19.0,8030.73,0.1044
SO-2025-03269,2025-02-24,华东,南京,家居生活,周涛,老客,825.82,13.0,10735.66,0.1685
SO-2025-02876,2025-02-07,华东,南京,数码配件,黄霞,新客,1035.34,12.0,12424.08,0.0534
SO-2025-00135,2025-05-03,华东,杭州,办公用品,陈静,老客,716.59,1.0,716.59,0.0979
SO-2025-03100,2025-04-05,东北,沈阳,数码配件,吴倩,新客,2537.42,8.0,20299.36,0.1903
SO-2025-03110,2025-01-12,华东,上海,办公用品,王强,老客,2372.86,7.0,16610.02,0.0793
SO-2025-01834,2025-04-27,华东,南京,数码配件,孙丽,老客,1996.04,13.0,25948.52,0.0
SO-2025-03376,2025-04-30,华东,杭州,办公用品,吴倩,老客,2992.07,9.0,26928.63,0.2374
SO-2025-03288,2025-03-25,华东,南京,办公用品,陈静,新客,2276.99,15.0,34154.85,0.0
SO-2025-03952,2025-03-23,东北,大连,办公用品,赵磊,老客,731.65,11.0,8048.15,0.0
SO-2025-03701,2025-06-13,华东,南京,办公用品,张伟,老客,565.45,8.0,4523.6,0.2245
SO-2025-03461,2025-04-09,西南,重庆,办公用品,孙丽,新客,2529.19,13.0,32879.47,0.2653
SO-2025-02084,2025-05-28,华南,深圳,家居生活,杨帆,老客,1552.52,16.0,24840.32,0.1892
SO-2025-02152,2025-05-05,西南,重庆,办公用品,吴倩,老客,328.3,8.0,2626.4,0.2637
SO-2025-03291,2025-03-30,华南,广州,家居生活,徐鹏,新客,2338.15,13.0,30395.95,0.1651
SO-2025-02933,2025-05-20,西南,成都,数码配件,杨帆,老客,2120.68,5.0,10603.4,0.0227
SO-2025-01423,2025-03-18,华北,天津,办公用品,陈静,老客,1270.12,1.0,1270.12,0.2871
SO-2025-03508,2025-01-22,华南,广州,办公用品,张伟,新客,1556.44,7.0,10895.08,0.0
SO-2025-04886,2025-02-15,华东,南京,办公用品,吴倩,新客,2882.2,20.0,57644.0,0.0487
SO-2025-03974,2025-05-29,华东,南京,办公用品,陈静,老客,1663.65,19.0,31609.35,0.2164
SO-2025-00769,2025-03-30,华南,广州,办公用品,孙丽,老客,2852.78,15.0,42791.7,0.1353
SO-2025-00453,2025-05-22,华东,上海,办公用品,徐鹏,新客,2641.89,20.0,52837.8,0.273
SO-2025-02824,2025-05-07,东北,大连,办公用品,王强,老客,2540.64,12.0,30487.68,0.2388
SO-2025-00012,2025-03-28,华南,深圳,办公用品,黄霞,老客,1227.66,13.0,15959.58,0.0305
SO-2025-03318,2025-04-20,华东,上海,办公用品,孙丽,新客,343.69,18.0,6186.42,0.0
SO-2025-00889,2025-02-06,华南,深圳,数码配件,赵磊,新客,2517.34,1.0,2517.34,0.0687
SO-2025-03665,2025-05-01,华北,北京,数码配件,张伟,老客,2798.09,10.0,27980.9,0.1226
SO-2025-02590,2025-03-10,西南,成都,数码配件,黄霞,老客,1546.74,2.0,3093.48,0.0
SO-2025-01183,2025-03-08,华东,南京,家居生活,周涛,新客,1143.99,13.0,14871.87,0.1045
SO-2025-03722,2025-02-23,西南,重庆,办公用品,孙丽,老客,1339.05,14.0,18746.7,0.006
SO-2025-04629,2025-03-25,华东,上海,家居生活,李娜,老客,780.72,3.0,2342.16,0.2057
SO-2025-03809,2025-02-08,西南,成都,办公用品,孙丽,老客,2121.36,20.0,42427.2,0.2557
SO-2025-04119,2025-05-21,华北,北京,办公用品,刘敏,新客,1817.64,20.0,36352.8,0.1289
SO-2025-00681,2025-03-11,华东,杭州,家居生活,赵磊,新客,703.32,16.0,11253.12,0.0622
SO-2025-00602,2025-04-02,东北,沈阳,数码配件,王强,老客,2285.12,16.0,36561.92,0.2162
SO-2025-02828,2025-01-28,西南,重庆,办公用品,孙丽,老客,426.9,19.0,8111.1,0.1702
SO-2025-03261,2025-01-21,华南,深圳,数码配件,徐鹏,老客,149.03,12.0,1788.36,0.1524
SO-2025-02823,2025-05-22,东北,大连,数码配件,张伟,老客,202.8,1.0,202.8,0.2587
SO-2025-01158,2025-05-19,华北,天津,数码配件,孙丽,老客,1431.66,20.0,28633.2,0.1634
SO-2025-03405,2025-04-07,西南,重庆,办公用品,徐鹏,老客,1752.69,13.0,22784.97,0.2501
SO-2025-00806,2025-01-11,华南,深圳,数码配件,赵磊,老客,1622.09,9.0,14598.81,0.0477
SO-2025-03520,2025-02-01,华北,天津,数码配件,孙丽,新客,2074.42,10.0,20744.2,0.2082
SO-2025-03024,2025-01-06,华东,南京,家居生活,黄霞,老客,154.72,12.0,1856.64,0.0
SO-2025-03028,2025-04-20,华南,广州,办公用品,周涛,老客,673.24,17.0,11445.08,0.0
SO-2025-04908,2025-06-25,华南,深圳,数码配件,孙丽,老客,948.58,6.0,5691.48,0.1583
SO-2025-04847,2025-04-06,华南,广州,办公用品,王强,老客,1472.76,19.0,27982.44,0.045
SO-2025-02326,2025-05-05,华东,上海,家居生活,王强,老客,588.18,14.0,8234.52,0.042
SO-2025-02713,2025-06-12,华东,上海,数码配件,徐鹏,老客,970.6,9.0,8735.4,0.1654
SO-2025-01032,2025-02-05,华北,天津,办公用品,徐鹏,新客,1333.88,18.0,24009.84,0.0208
SO-2025-02897,2025-05-22,华东,南京,办公用品,孙丽,新客,1868.9,17.0,31771.3,0.1122
SO-2025-02951,2025-01-26,西南,成都,家居生活,吴倩,老客,144.9,14.0,2028.6,0.1641
SO-2025-04327,2025-05-08,华南,深圳,办公用品,赵磊,新客,2797.62,6.0,16785.72,0.2161
SO-2025-04056,2025-02-01,华东,杭州,办公用品,刘敏,老客,1500.09,18.0,27001.62,0.0024
SO-2025-04755,2025-06-02,华北,天津,家居生活,杨帆,老客,2231.48,14.0,31240.72,0.2917
